what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583080741
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583105132
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1389583114114
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1389583118276
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1389583145477
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583172254
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583231981
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583237230
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583237280
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583237444
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583238129
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583242148
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583243521
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583245920
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583247147
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583250709
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583252371
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583252999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583254513
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583259420
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583261196
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583263797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583266519
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583270791
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583272581
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583288598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583289854
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583296197
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583302911
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583304987
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583306889
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583309167
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583310936
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1389583315220
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583345750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583348057
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583356188
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583357451
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583374364
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583374517
error,log,,,"Unhandled event loop exception",1389583374668
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1389583391831
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1389583394721
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1389583397130
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1389583399344
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583400088
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583401087
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1389583446804
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583447438
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583451032
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1389583458252
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389583462889
